index	id	week	value
0	KPI01	1	1.0
1	KPI02	1	1.0
2	KPI03	1	
3	KPI04	1	53254.0
4	KPI05	1	25429.0
5	KPI06	1	1.2344541910331384
6	KPI08	1	0.0
7	KPI09	1	1473.0
8	KPI10	1	1.2591489361702128
9	KPI11	1	
10	KPI12	1	0.9690480639468493
11	KPI13	1	1.0
12	KPI15	1	
13	KPI16	1	1.00375
14	KPI17	1	0.0
15	KPI18	1	16966.0
16	KPI19	1	0.7676518883415435
17	KPI20	1	
18	KPI21	1	1.0
19	KPI22	1	1.0
20	KPI25	1	1330.0
21	KPI26	1	24.0
22	KPI27	1	1.0
23	KPI28	1	
24	KPI29	1	
25	KPI30	1	399.0
26	KPI31	1	2867.0
27	KPI32	1	0.9735104557077305
28	KPI33	1	0.6928125
29	KPI34	1	1.0
30	KPI35	1	
31	KPI36	1	185.0
32	KPI37	1	1.0
33	KPI38	1	0.004535147
34	KPI39	1	1.0
35	KPI40	1	
36	KPI41	1	
37	KPI42	1	1.0
38	KPI43	1	1.0
39	KPI44	1	1.1590844384756886e-05
40	KPI45	1	0.39043023530657694
41	KPI46	1	
42	KPI47	1	
43	KPI48	1	0.0
44	KPI49	1	168.0
45	KPI01	2	0.8857142857142857
46	KPI02	2	0.9565217391304348
47	KPI03	2	1.0
48	KPI04	2	53365.0
49	KPI05	2	8583.0
50	KPI06	2	0.9834394904458599
51	KPI08	2	0.0
52	KPI09	2	1897.0
53	KPI10	2	0.8861224489795918
54	KPI11	2	10.0
55	KPI12	2	0.9852500527288655
56	KPI13	2	0.9904477129465008
57	KPI15	2	1.0
58	KPI16	2	0.7605128205128205
59	KPI17	2	3327.0
60	KPI18	2	18287.0
61	KPI19	2	1.5225225225225225
62	KPI20	2	
63	KPI21	2	0.991578426221254
64	KPI22	2	1.0
65	KPI25	2	1813.0
66	KPI26	2	301.0
67	KPI27	2	1.0
68	KPI28	2	
69	KPI29	2	102.0
70	KPI30	2	399.0
71	KPI31	2	2673.0
72	KPI32	2	0.9807339003922936
73	KPI33	2	0.7046875
74	KPI34	2	0.666666666666667
75	KPI35	2	926.0
76	KPI36	2	184.0
77	KPI37	2	0.9814814814814815
78	KPI38	2	0.279926335
79	KPI39	2	0.9961693829131701
80	KPI40	2	0.9833333333333334
81	KPI41	2	1.0
82	KPI42	2	1.0
83	KPI43	2	1.0
84	KPI44	2	1.23752305424721e-05
85	KPI45	2	0.3834863064439271
86	KPI46	2	116.0
87	KPI47	2	
88	KPI48	2	26.0
89	KPI49	2	1347.0
90	KPI01	3	0.8703703703703703
91	KPI02	3	0.90625
92	KPI03	3	0.8333333333333334
93	KPI04	3	11596.0
94	KPI05	3	47.0
95	KPI06	3	0.605
96	KPI08	3	0.0
97	KPI09	3	7294.0
98	KPI10	3	0.8495061728395061
99	KPI11	3	10.0
100	KPI12	3	0.9985381821659157
101	KPI13	3	0.9227976232694253
102	KPI15	3	0.3333333333333333
103	KPI16	3	0.6107317073170732
104	KPI17	3	10756.0
105	KPI18	3	17677.0
106	KPI19	3	1.6524752475247524
107	KPI20	3	0.8072672672672673
108	KPI21	3	0.9333333333333332
109	KPI22	3	0.3115942028985507
110	KPI25	3	7743.0
111	KPI26	3	123.0
112	KPI27	3	1.0
113	KPI28	3	0.9864792660949259
114	KPI29	3	251.0
