index	id	week	value
189	KPI09	5	8276.0
190	KPI10	5	0.7869268292682927
191	KPI11	5	12.0
192	KPI12	5	0.997110718471858
193	KPI13	5	0.9757292781440949
194	KPI15	5	0.047619047619047616
195	KPI16	5	0.6175384615384616
196	KPI17	5	18084.0
197	KPI18	5	19153.0
198	KPI19	5	0.6515679442508711
199	KPI20	5	1.2115447154471544
200	KPI21	5	0.9007834947675746
201	KPI22	5	1.0
202	KPI25	5	7802.0
203	KPI26	5	375.0
204	KPI27	5	1.0
205	KPI28	5	0.9818699687260133
206	KPI29	5	89.0
207	KPI30	5	317.0
208	KPI31	5	3066.0
209	KPI32	5	0.97236678911169
210	KPI33	5	1.0290625
211	KPI34	5	1.0
212	KPI35	5	497.0
213	KPI36	5	163.0
214	KPI37	5	0.8857142857142857
215	KPI38	5	0.264285714
216	KPI39	5	0.9929761862375086
217	KPI40	5	1.0
218	KPI41	5	1.0
219	KPI42	5	1.0
220	KPI43	5	1.0
221	KPI44	5	1.81148018478409e-05
222	KPI45	5	0.3513766314877216
223	KPI46	5	121.0
224	KPI49	5	921.0
225	KPI01	6	1.0
226	KPI02	6	0.967741935483871
227	KPI03	6	0.9607843137254902
228	KPI47	6	1.0
229	KPI48	6	896.0
230	KPI04	6	5376.0
231	KPI05	6	355.0
232	KPI06	6	0.7926356589147286
233	KPI08	6	0.0
234	KPI09	6	5990.0
235	KPI10	6	0.8120279720279721
236	KPI11	6	16.0
237	KPI12	6	0.9886946386946387
238	KPI13	6	1.0
239	KPI15	6	0.0
240	KPI16	6	0.5355844155844156
241	KPI17	6	3645.0
242	KPI18	6	18962.0
243	KPI19	6	0.8811653116531165
244	KPI20	6	1.3501157024793389
245	KPI21	6	0.7078326424661459
246	KPI22	6	0.8333333333333334
247	KPI25	6	5220.0
248	KPI26	6	3276.0
249	KPI27	6	1.0
250	KPI28	6	0.9779510306537046
251	KPI29	6	2.0
252	KPI30	6	317.0
253	KPI31	6	3677.0
254	KPI32	6	0.9677309223859937
255	KPI33	6	0.6465625
256	KPI34	6	0.5
257	KPI35	6	432.0
258	KPI36	6	160.0
259	KPI37	6	0.8805970149253731
260	KPI38	6	0.232980333
261	KPI39	6	0.9959613259371692
262	KPI40	6	1.0
263	KPI41	6	1.0
264	KPI42	6	1.0
265	KPI43	6	1.0
266	KPI44	6	30.0
267	KPI45	6	0.7146057867764279
268	KPI46	6	145.0
269	KPI49	6	1670.0
270	KPI01	7	0.9259259259259259
271	KPI02	7	0.96875
272	KPI03	7	0.9482758620689655
273	KPI47	7	0.7272727272727273
274	KPI48	7	2927.0
275	KPI04	7	7319.0
276	KPI05	7	8661.0
277	KPI06	7	0.72
278	KPI08	7	0.0
279	KPI09	7	5676.0
280	KPI10	7	0.8921167883211679
281	KPI11	7	31.0
282	KPI12	7	0.9951389781263043
283	KPI13	7	1.0
284	KPI15	7	0.2857142857142857
285	KPI16	7	0.58
286	KPI17	7	4108.0
287	KPI18	7	17497.0
288	KPI19	7	0.87
289	KPI20	7	1.04
290	KPI21	7	0.8534865400904545
291	KPI22	7	0.7984251968503937
292	KPI25	7	6529.0
293	KPI26	7	1640.0
294	KPI27	7	1.0
295	KPI28	7	0.9572676767204135
296	KPI29	7	28.0
297	KPI30	7	
298	KPI31	7	3677.0
299	KPI32	7	0.9677309223859937
300	KPI33	7	0.2521875
301	KPI34	7	0.0
302	KPI35	7	307.0
303	KPI36	7	184.0
304	KPI37	7	0.9866666666666667
305	KPI38	7	0.099737533
306	KPI39	7	0.9955555555555556
307	KPI40	7	1.0
308	KPI41	7	1.0
309	KPI42	7	1.0
310	KPI43	7	1.0
311	KPI44	7	32.0
312	KPI45	7	0.9158057146318125
313	KPI46	7	162.0
314	KPI49	7	2719.0
315	KPI01	8	0.8787878787878788
316	KPI02	8	0.9333333333333333
317	KPI03	8	0.9649122807017544
318	KPI47	8	0.8571428571428571
319	KPI48	8	3976.0
320	KPI04	8	8162.0
321	KPI05	8	11638.0
322	KPI06	8	0.46
323	KPI08	8	0.0
324	KPI09	8	5214.0
325	KPI10	8	0.7758666666666667
326	KPI11	8	11.0
327	KPI12	8	0.9959879122985192
328	KPI13	8	0.9697254170868946
329	KPI15	8	0.2
330	KPI16	8	0.65
331	KPI17	8	3692.0
332	KPI18	8	17771.0
333	KPI19	8	0.5
334	KPI20	8	0.92
335	KPI21	8	0.883343913184762
336	KPI22	8	0.8333333333333334
337	KPI25	8	4628.0
338	KPI26	8	186.0
339	KPI27	8	1.0
340	KPI28	8	0.9768179429303991
341	KPI29	8	96.0
342	KPI30	8	289.0
343	KPI31	8	6034.0
344	KPI32	8	0.9323238566131026
345	KPI33	8	0.7265625
346	KPI34	8	0.0
347	KPI35	8	334.0
348	KPI36	8	207.0
349	KPI37	8	0.9655172413793104
350	KPI38	8	0.099502488
351	KPI39	8	0.9788961038961039
352	KPI40	8	1.0
353	KPI41	8	1.0
354	KPI42	8	1.0
355	KPI43	8	0.18867138692211582
356	KPI44	8	41.0
357	KPI45	8	0.9699514880357081
358	KPI46	8	294.0
359	KPI49	8	1167.0
360	KPI01	9	0.9574468085106383
361	KPI02	9	0.8787878787878788
362	KPI03	9	0.9649122807017544
363	KPI47	9	0.7647058823529411
364	KPI48	9	11610.0
365	KPI04	9	12841.0
366	KPI05	9	6140.0
367	KPI06	9	0.47
368	KPI08	9	0.0
369	KPI09	9	8191.0
370	KPI10	9	0.82
371	KPI11	9	8.0
372	KPI12	9	0.9968058828172068
373	KPI13	9	0.5462281727827663
374	KPI15	9	0.34210526315789475
375	KPI16	9	0.47
376	KPI17	9	3701.0
377	KPI18	9	22638.0
378	KPI19	9	0.67
379	KPI20	9	0.86
380	KPI21	9	0.7693478517469311
381	KPI22	9	0.20454545454545456
382	KPI25	9	6993.569971999999
383	KPI26	9	407.0
384	KPI27	9	
386	KPI29	9	110.0
387	KPI30	9	792.0
388	KPI31	9	6034.0
389	KPI32	9	0.954412811927092
390	KPI33	9	0.9009375
391	KPI34	9	1.0
392	KPI35	9	285.0
393	KPI36	9	169.0
394	KPI37	9	1.0
395	KPI38	9	0.176975945
396	KPI39	9	0.9910863057414782
397	KPI40	9	1.0
398	KPI41	9	1.0
399	KPI42	9	1.0
400	KPI43	9	1.0
401	KPI44	9	52.0
402	KPI45	9	0.9557595400374864
403	KPI46	9	193.0
404	KPI49	9	1849.0
405	KPI01	10	0.9848484848484849
406	KPI02	10	1.0
407	KPI03	10	0.9333333333333333
408	KPI47	10	0.875
409	KPI48	10	15767.0
410	KPI04	10	25238.0
411	KPI05	10	11446.0
412	KPI06	10	0.71
413	KPI08	10	0.0
414	KPI09	10	9787.0
415	KPI10	10	0.93
416	KPI11	10	17.0
417	KPI12	10	0.9982704183968861
418	KPI13	10	0.3579364549394395
419	KPI15	10	0.0
420	KPI16	10	0.61
421	KPI17	10	3231.0
422	KPI18	10	22054.0
423	KPI19	10	0.82
424	KPI20	10	0.63
425	KPI21	10	0.9298762035376859
426	KPI22	10	0.5104166666666666
427	KPI25	10	7498.0
428	KPI26	10	1625.0
429	KPI27	10	
430	KPI28	10	0.9752269220020171
431	KPI29	10	376.0
432	KPI30	10	214.0
433	KPI31	10	6034.0
434	KPI32	10	0.9624711180270665
435	KPI33	10	0.71625
436	KPI34	10	1.0
437	KPI35	10	182.0
438	KPI36	10	167.0
439	KPI37	10	0.975609756097561
440	KPI38	10	0.081081081
441	KPI39	10	0.9925911355887752
442	KPI40	10	0.9523809523809524
443	KPI41	10	1.0
444	KPI42	10	0.7541205188726825
445	KPI43	10	1.0
446	KPI44	10	53.0
447	KPI45	10	0.9605617269216296
448	KPI46	10	104.0
449	KPI49	10	1887.0
450	KPI01	11	0.9666666666666667
451	KPI02	11	0.9142857142857143
452	KPI03	11	0.9523809523809523
453	KPI47	11	0.875
454	KPI48	11	20620.0
455	KPI04	11	41771.0
456	KPI05	11	5904.0
457	KPI06	11	0.94
458	KPI08	11	0.029411764705882353
459	KPI09	11	10077.0
460	KPI10	11	0.85
461	KPI11	11	15.0
462	KPI12	11	0.9965934742643917
463	KPI13	11	0.10766178310334044
464	KPI15	11	0.43243243243243246
465	KPI16	11	0.85
466	KPI17	11	3108.0
467	KPI18	11	23593.0
468	KPI19	11	0.65
469	KPI20	11	0.86
470	KPI21	11	0.9372417783207208
471	KPI22	11	0.8333333333333334
472	KPI25	11	6553.0
473	KPI26	11	724.0
474	KPI27	11	1.0
475	KPI28	11	0.9903272904246259
476	KPI29	11	350.0
477	KPI30	11	178.0
478	KPI31	11	8249.0
479	KPI32	11	0.954412811927092
480	KPI33	11	1.095625
481	KPI34	11	0.0
482	KPI35	11	200.0
483	KPI36	11	170.0
484	KPI37	11	0.9841269841269841
485	KPI38	11	0.122197309
486	KPI39	11	0.9444444444444445
487	KPI40	11	1.0
488	KPI41	11	0.9375929203539822
489	KPI42	11	
490	KPI43	11	0.9479383590170762
491	KPI44	11	59.0
