	id	week	value
188	KPI12	5	0.997110718471858
189	KPI13	5	0.9757292781440949
190	KPI15	5	0.047619047619047616
191	KPI16	5	0.6175384615384616
192	KPI17	5	18084.0
193	KPI18	5	19153.0
194	KPI19	5	0.6515679442508711
195	KPI20	5	1.2115447154471544
196	KPI21	5	0.9007834947675746
197	KPI22	5	1.0
198	KPI25	5	7802.0
199	KPI26	5	375.0
200	KPI27	5	1.0
201	KPI28	5	0.9818699687260133
202	KPI29	5	89.0
203	KPI30	5	317.0
204	KPI31	5	3066.0
205	KPI32	5	0.97236678911169
206	KPI33	5	1.0290625
207	KPI34	5	1.0
208	KPI35	5	497.0
209	KPI36	5	163.0
210	KPI37	5	0.8857142857142857
211	KPI38	5	0.08108108108108109
212	KPI39	5	0.9929761862375086
213	KPI40	5	1.0
214	KPI41	5	1.0
215	KPI42	5	1.0
216	KPI43	5	1.0
217	KPI44	5	1.81148018478409e-05
218	KPI45	5	0.3513766314877216
219	KPI46	5	121.0
220	KPI01	6	1.0
221	KPI02	6	0.967741935483871
222	KPI03	6	0.9607843137254902
223	KPI47	6	1.0
224	KPI48	6	896.0
225	KPI04	6	5376.0
226	KPI05	6	355.0
227	KPI06	6	0.7926356589147286
228	KPI08	6	0.0
229	KPI09	6	5990.0
230	KPI10	6	0.8120279720279721
231	KPI11	6	16.0
232	KPI12	6	0.9886946386946387
233	KPI13	6	1.0
234	KPI15	6	0.0
235	KPI16	6	0.5355844155844156
236	KPI17	6	3645.0
237	KPI18	6	18962.0
238	KPI19	6	0.8811653116531165
239	KPI20	6	1.3501157024793389
240	KPI21	6	0.7078326424661459
241	KPI22	6	0.8333333333333334
242	KPI25	6	5220.0
243	KPI26	6	3276.0
244	KPI27	6	1.0
245	KPI28	6	0.9779510306537046
246	KPI29	6	2.0
247	KPI30	6	317.0
248	KPI31	6	3677.0
249	KPI32	6	0.9677309223859937
250	KPI33	6	0.6465625
251	KPI34	6	0.5
252	KPI35	6	432.0
253	KPI36	6	160.0
254	KPI37	6	0.8805970149253731
255	KPI38	6	0.12249443207126949
256	KPI39	6	0.9959613259371692
257	KPI40	6	1.0
258	KPI41	6	1.0
259	KPI42	6	1.0
260	KPI43	6	1.0
261	KPI44	6	30.0
262	KPI45	6	0.7146057867764279
263	KPI46	6	145.0
264	KPI01	7	0.9259259259259259
265	KPI02	7	0.96875
266	KPI03	7	0.9482758620689655
267	KPI47	7	0.7272727272727273
268	KPI48	7	2927.0
269	KPI04	7	7319.0
270	KPI05	7	8661.0
271	KPI06	7	0.72
272	KPI08	7	0.0
273	KPI09	7	5676.0
274	KPI10	7	0.8921167883211679
275	KPI11	7	31.0
276	KPI12	7	0.9951389781263043
277	KPI13	7	1.0
278	KPI15	7	0.2857142857142857
279	KPI16	7	0.58
280	KPI17	7	4108.0
281	KPI18	7	17497.0
282	KPI19	7	0.87
283	KPI20	7	1.04
284	KPI21	7	0.8534865400904545
285	KPI22	7	0.7984251968503937
286	KPI25	7	6529.0
287	KPI26	7	1640.0
288	KPI27	7	1.0
289	KPI28	7	0.9572676767204135
290	KPI29	7	28.0
291	KPI30	7	
292	KPI31	7	3677.0
293	KPI32	7	0.9677309223859937
294	KPI33	7	0.2521875
295	KPI34	7	0.0
296	KPI35	7	307.0
297	KPI36	7	184.0
298	KPI37	7	0.9866666666666667
299	KPI38	7	0.18640350877192982
300	KPI39	7	0.9955555555555556
301	KPI40	7	1.0
302	KPI41	7	1.0
303	KPI42	7	1.0
304	KPI43	7	1.0
305	KPI44	7	32.0
306	KPI45	7	0.9158057146318125
307	KPI46	7	162.0
308	KPI01	8	0.8787878787878788
309	KPI02	8	0.9333333333333333
310	KPI03	8	0.9649122807017544
311	KPI47	8	0.8571428571428571
312	KPI48	8	3976.0
313	KPI04	8	8162.0
314	KPI05	8	11638.0
315	KPI06	8	0.46
316	KPI08	8	0.0
317	KPI09	8	5214.0
318	KPI10	8	0.7758666666666667
319	KPI11	8	11.0
